EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.003844,21.69,81.5,0.390643,0.001282,22.07,83.5,0.390643,0.002563,22.15,78.0,0.406269
0.016658,21.69,94.0,0.359391,0.01666,22.07,92.67,0.359391,0.016659,22.15,88.0,0.359391
0.01794,21.69,88.75,0.453146,0.017942,22.07,84.0,0.421894,0.017941,22.15,95.0,0.312514
0.01794,21.69,98.4,0.531274,0.01666,22.07,92.8,0.312514,0.017941,22.15,85.6,0.406269
0.01794,21.69,95.83,0.453146,0.017942,22.07,107.67,0.390643,0.017941,22.15,90.33,0.359391
0.01794,21.69,103.0,0.453146,0.017942,22.07,118.57,0.43752,0.017941,22.15,92.29,0.312514
0.01794,21.69,108.38,0.500023,0.017942,22.07,127.0,0.421894,0.017941,22.15,93.75,0.359391
0.016658,21.69,112.56,0.468771,0.01666,22.09,133.56,0.343766,0.017941,22.15,94.89,0.32814
0.015377,21.69,116.5,0.468771,0.017942,22.09,138.5,0.32814,0.017941,22.15,96.1,0.421894
0.015377,21.69,119.55,0.453146,0.01666,22.09,142.55,0.453146,0.017941,22.15,97.0,0.32814
0.015377,21.69,122.0,0.500023,0.01666,22.09,145.92,0.468771,0.017941,22.15,97.5,0.375017
0.015377,21.67,124.0,0.453146,0.015379,22.09,148.15,0.531274,0.017941,22.17,97.85,0.343766
0.014096,21.67,126.5,0.500023,0.014097,22.09,150.0,0.421894,0.016659,22.17,98.29,0.359391
0.014096,21.67,128.53,0.43752,0.015379,22.09,151.67,0.359391,0.017941,22.17,98.6,0.312514
0.014096,21.67,130.38,0.500023,0.015379,22.09,153.25,0.468771,0.016659,22.17,98.94,0.562526
0.014096,21.69,131.88,0.484397,0.014097,22.11,154.65,0.484397,0.016659,22.33,99.24,0.312514
0.014096,21.69,132.83,0.421894,0.015379,22.11,156.06,0.531274,0.016659,22.33,99.11,0.343766
0.014096,21.69,133.42,0.359391,0.014097,22.11,157.26,0.484397,0.016659,22.33,98.84,0.390643
