EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.001281,22.41,109.0,0.484397,0.001281,22.11,53.0,0.390643,0.001281,22.07,112.5,0.453146
0.0205,22.41,90.0,0.484397,0.01922,22.11,56.67,0.312514,0.019219,22.07,118.0,0.531274
0.0205,22.41,99.0,0.390643,0.01922,22.11,57.75,0.468771,0.0205,22.07,105.0,0.453146
0.019219,22.41,90.0,0.515649,0.017939,22.11,58.8,0.515649,0.019219,22.07,113.6,0.484397
0.017938,22.41,83.5,0.468771,0.017939,22.11,58.17,0.375017,0.017938,22.07,115.33,0.484397
0.019219,22.41,82.0,0.375017,0.017939,22.11,65.57,0.375017,0.019219,22.07,116.57,0.531274
0.017938,22.41,80.62,0.531274,0.01922,22.11,72.0,0.5469,0.0205,22.07,117.25,0.453146
0.0205,22.39,79.67,0.390643,0.01922,22.11,77.33,0.453146,0.0205,21.87,118.11,0.531274
0.0205,22.39,78.8,0.515649,0.01922,22.11,81.6,0.453146,0.0205,21.87,118.6,0.43752
0.0205,22.39,78.09,0.406269,0.017939,22.11,85.0,0.375017,0.017938,21.87,119.18,0.531274
0.0205,22.39,77.58,0.500023,0.017939,22.11,87.83,0.375017,0.019219,21.87,119.67,0.531274
0.019219,22.41,77.15,0.484397,0.01922,22.13,90.0,0.5469,0.019219,21.85,120.23,0.484397
0.017938,22.41,76.79,0.500023,0.01922,22.13,92.0,0.5469,0.0205,21.85,120.71,0.484397
0.0205,22.41,76.47,0.593777,0.020501,22.13,93.2,0.406269,0.0205,21.85,121.2,0.484397
0.0205,22.41,76.19,0.453146,0.017939,22.13,94.38,0.718783,0.0205,21.85,122.06,0.453146
0.0205,22.39,76.12,0.515649,0.017939,22.09,95.0,0.43752,0.019219,21.83,122.94,0.562526
0.019219,22.39,76.06,0.562526,0.01922,22.09,95.56,0.43752,0.019219,21.83,123.78,0.500023
0.019219,22.39,76.05,0.562526,0.01922,22.09,96.05,0.359391,0.0205,21.83,124.53,0.468771
0.019219,22.39,76.05,0.515649,0.01922,22.09,96.5,0.531274,0.0205,21.83,126.35,0.468771
0.019219,22.39,76.05,0.5469,0.017939,22.13,97.0,0.562526,0.019219,21.83,127.48,0.500023
0.0205,22.39,76.05,0.453146,0.017939,22.13,97.45,0.343766,0.019219,21.83,128.5,0.468771
0.0205,22.39,76.04,0.468771,0.017939,22.13,97.83,0.453146,0.017938,21.83,129.35,0.5469
0.0205,22.39,76.17,0.453146,0.01922,22.13,98.21,0.453146,0.019219,21.83,130.08,0.421894
0.019219,22.45,76.28,0.531274,0.01922,22.13,98.56,0.43752,0.0205,21.81,130.76,0.515649
0.019219,22.45,76.42,0.43752,0.01922,22.13,98.85,0.375017,0.0205,21.81,131.46,0.515649
0.017938,22.45,76.52,0.562526,0.017939,22.13,98.96,0.390643,0.017938,21.81,132.11,0.421894
0.0205,22.45,76.64,0.609403,0.017939,22.13,99.14,0.343766,0.019219,21.81,133.46,0.468771
0.0205,22.47,76.86,0.640654,0.020501,22.11,99.31,0.43752,0.019219,21.81,135.07,0.453146
0.0205,22.47,77.03,0.750034,0.01922,22.11,99.5,0.562526,0.0205,21.81,136.57,0.5469
0.019219,22.47,77.13,0.671906,0.01922,22.11,99.74,0.515649,0.0205,21.81,137.94,0.406269
0.017938,22.47,77.16,0.65628,0.017939,22.11,99.94,0.562526,0.0205,21.81,139.09,0.5469
0.017938,22.39,77.24,0.671906,0.017939,22.09,100.15,0.5469,0.019219,21.81,140.15,0.390643
0.0205,22.39,77.35,0.671906,0.01922,22.09,100.35,0.5469,0.017938,21.81,141.15,0.515649
0.019219,22.39,77.43,0.65628,0.01922,22.09,100.57,0.531274,0.019219,21.81,142.06,0.468771
0.0205,22.39,77.64,0.609403,0.016657,22.09,100.78,0.500023,0.0205,21.81,142.5,0.468771
