EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.003843,22.51,88.5,0.562526,0.002562,22.21,76.0,0.484397,0.003843,22.35,79.0,0.375017
0.020494,22.51,102.0,0.421894,0.017935,22.21,82.67,0.359391,0.019214,22.35,73.0,0.359391
0.021775,22.51,88.5,0.453146,0.019217,22.21,78.5,0.625029,0.019214,22.35,85.0,0.312514
0.021775,22.51,101.8,0.515649,0.020498,22.21,85.0,0.593777,0.020495,22.35,82.2,0.484397
0.019213,22.51,105.33,0.531274,0.017935,22.21,79.5,0.312514,0.019214,22.35,88.0,0.500023
0.021775,22.51,117.14,0.406269,0.019217,22.21,84.43,0.375017,0.019214,22.35,92.14,0.562526
0.017932,22.51,111.88,0.515649,0.019217,22.21,88.62,0.375017,0.020495,22.35,95.62,0.625029
0.017932,22.53,116.67,0.406269,0.017935,22.23,91.89,0.468771,0.017933,22.33,98.33,0.531274
0.019213,22.53,116.7,0.515649,0.016654,22.23,94.6,0.468771,0.017933,22.33,100.5,0.484397
0.01537,22.53,116.36,0.468771,0.016654,22.23,96.82,0.453146,0.016652,22.33,102.27,0.5469
0.01537,22.53,115.5,0.500023,0.014092,22.23,98.25,0.375017,0.01409,22.33,103.75,0.5469
0.01537,22.51,114.92,0.421894,0.014092,22.23,99.54,0.484397,0.01409,22.31,105.0,0.562526
0.012809,22.51,114.14,0.484397,0.015373,22.23,100.71,0.390643,0.015371,22.31,106.07,0.625029
0.01409,22.51,113.07,0.421894,0.01153,22.23,101.73,0.453146,0.012809,22.31,107.13,0.531274
0.011528,22.51,112.12,0.453146,0.012811,22.23,102.62,0.453146,0.012809,22.31,108.06,0.515649
0.008966,22.51,111.41,0.421894,0.01153,22.23,103.47,0.406269,0.012809,22.25,109.0,0.406269
0.010247,22.51,110.78,0.421894,0.008968,22.23,104.22,0.515649,0.010248,22.25,109.78,0.421894
0.007685,22.51,110.21,0.453146,0.008968,22.23,104.58,0.5469,0.008967,22.25,110.42,0.609403
0.008966,22.51,109.7,0.43752,0.008968,22.23,105.35,0.640654,0.008967,22.25,110.9,0.468771
0.008966,22.49,109.29,0.43752,0.006406,22.21,106.05,0.406269,0.007686,22.33,111.29,0.43752
0.006404,22.49,108.73,0.453146,0.007687,22.21,106.68,0.390643,0.006405,22.33,111.64,0.421894
0.006404,22.49,108.3,0.406269,0.005124,22.21,107.26,0.32814,0.007686,22.33,112.0,0.484397
0.006404,22.49,108.21,0.43752,0.006406,22.21,107.79,0.32814,0.006405,22.33,112.17,0.453146
0.005123,22.51,108.08,0.43752,0.005124,22.23,108.28,0.562526,0.005124,22.37,112.24,0.5469
0.006404,22.51,107.96,0.468771,0.005124,22.23,108.62,0.421894,0.007686,22.37,112.35,0.484397
0.003843,22.51,107.81,0.421894,0.003843,22.23,108.81,0.406269,0.005124,22.37,112.44,0.43752
0.003843,22.51,107.71,0.43752,0.005124,22.23,109.04,0.531274,0.003843,22.37,112.57,0.500023
0.006404,22.47,107.62,0.453146,0.003843,22.23,109.28,0.43752,0.006405,22.31,112.66,0.500023
0.003843,22.47,107.53,0.453146,0.003843,22.23,109.43,0.375017,0.003843,22.31,112.77,0.500023
0.005123,22.47,107.45,0.43752,0.002562,22.23,109.55,0.343766,0.003843,22.31,112.71,0.453146
0.005123,22.47,107.38,0.421894,0.001281,22.23,109.69,0.43752,0.005124,22.31,112.78,0.5469
0.003843,22.47,107.3,0.468771,0.003843,22.23,109.73,0.468771,0.003843,22.35,112.91,0.5469
0.005123,22.47,107.24,0.43752,0.0,22.23,109.76,0.500023,0.003843,22.35,113.06,0.453146
0.002562,22.47,107.14,0.43752,0.0,22.23,109.74,0.406269,0.003843,22.35,113.2,0.531274
0.002562,22.47,107.08,0.515649,0.002562,22.23,109.58,0.390643,0.002562,22.35,113.36,1.062549
0.005123,22.47,107.03,0.43752,0.001281,22.25,109.46,0.343766,0.005124,22.21,113.51,0.968794
0.002562,22.47,106.97,0.453146,0.001281,22.25,109.34,0.562526,0.003843,22.21,113.68,0.937543
0.005123,22.47,106.92,0.421894,0.001281,22.25,109.23,0.578151,0.002562,22.21,113.77,0.921917
0.005123,22.47,106.82,0.468771,0.001281,22.25,109.2,0.312514,0.003843,22.21,113.95,1.000046
0.002562,22.49,106.56,0.43752,0.0,22.21,109.17,0.390643,0.002562,22.33,114.1,0.953169
0.005123,22.49,106.26,0.453146,0.001281,22.21,109.12,0.390643,0.003843,22.33,114.29,1.000046
0.003843,22.49,106.0,0.43752,0.0,22.21,109.09,0.375017,0.003843,22.33,114.47,0.921917
0.003843,22.49,105.73,0.453146,0.001281,22.21,109.07,0.375017,0.002562,22.33,114.68,0.968794
0.005123,22.45,105.49,0.421894,0.001281,22.23,109.04,0.343766,0.003843,22.25,114.93,1.015671
0.002562,22.45,105.26,0.468771,0.0,22.23,109.0,0.406269,0.003843,22.25,115.2,0.968794
0.005123,22.45,105.09,0.421894,0.001281,22.23,108.96,0.359391,0.002562,22.25,115.45,0.609403
0.002562,22.45,104.92,0.500023,0.001281,22.23,108.9,0.43752,0.003843,22.25,115.6,0.500023
0.002562,22.43,104.8,0.390643,0.0,22.25,108.84,0.343766,0.003843,22.25,115.59,0.578151
0.005123,22.43,104.7,0.390643,0.001281,22.25,108.86,0.312514,0.002562,22.25,115.54,0.687531
0.003843,22.43,104.51,0.390643,0.0,22.25,108.88,0.359391,0.005124,22.25,115.51,0.375017
0.003843,22.43,104.31,0.453146,0.001281,22.25,108.88,0.359391,0.002562,22.25,115.48,0.750034
0.003843,22.45,104.13,0.390643,0.0,22.23,108.91,0.406269,0.003843,22.25,115.43,0.718783
0.002562,22.45,103.96,0.43752,0.0,22.23,108.91,0.421894,0.003843,22.25,115.44,0.531274
0.003843,22.45,103.76,0.406269,0.001281,22.23,108.87,0.359391,0.001281,22.25,115.22,0.593777
0.002562,22.45,103.52,0.453146,0.001281,22.23,108.89,0.312514,0.003843,22.25,115.02,0.640654
0.001281,22.45,103.4,0.390643,0.0,22.21,108.93,0.343766,0.003843,22.19,114.84,0.718783
0.003843,22.45,103.29,0.421894,0.0,22.21,108.98,0.43752,0.001281,22.19,114.69,0.734409
0.001281,22.45,103.17,0.43752,0.001281,22.21,109.0,0.359391,0.001281,22.19,114.53,0.65628
0.002562,22.45,103.07,0.421894,0.0,22.21,108.98,0.421894,0.003843,22.19,114.35,0.671906
0.003843,22.47,102.5,0.453146,0.0,22.25,109.35,0.421894,0.001281,22.35,115.1,0.796911
0.003843,22.47,103.15,0.421894,0.0,22.25,110.28,0.515649,0.003843,22.35,115.2,0.76566
0.003843,22.47,102.52,0.43752,0.0,22.25,110.6,0.406269,0.003843,22.35,116.18,0.828163
0.002562,22.47,103.22,0.453146,0.0,22.25,111.42,0.421894,0.002562,22.35,116.15,0.87504
0.002562,22.45,102.13,0.421894,0.0,22.23,111.48,0.32814,0.003843,22.27,116.95,0.890666
0.003843,22.45,101.57,0.453146,0.0,22.23,112.37,1.343812,0.002562,22.27,116.95,0.828163
0.002562,22.45,99.93,0.453146,0.0,22.23,112.25,0.843789,0.001281,22.27,116.9,0.812537
0.003843,22.45,100.1,0.421894,0.0,22.23,112.05,1.187554,0.002562,22.27,116.82,0.781286
0.003843,22.43,98.9,0.453146,0.0,22.23,111.83,0.375017,0.001281,22.21,116.75,0.593777
0.003843,22.43,98.28,0.468771,0.001281,22.23,111.55,0.312514,0.003843,22.21,116.68,0.718783
0.003843,22.43,97.72,0.43752,0.0,22.23,111.27,0.421894,0.002562,22.21,116.68,0.890666
0.003843,22.43,97.25,0.484397,0.0,22.23,111.07,0.390643,0.001281,22.21,116.68,0.734409
