EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.002562,21.71,84.5,0.937543,0.002562,22.23,53.5,0.312514,0.002562,22.17,85.5,0.531274
0.020495,21.71,97.67,0.515649,0.021779,22.23,61.0,0.32814,0.021776,22.17,87.33,0.421894
0.021776,21.71,85.25,0.453146,0.021779,22.23,91.25,0.43752,0.021776,22.17,86.25,0.359391
0.019214,21.71,97.8,0.5469,0.019217,22.23,89.6,0.484397,0.019214,22.17,91.4,0.32814
0.020495,21.71,94.83,0.562526,0.020498,22.23,105.0,0.593777,0.021776,22.17,90.0,0.312514
0.017933,21.71,104.14,0.734409,0.017935,22.23,116.14,0.5469,0.019214,22.17,93.14,0.484397
0.017933,21.71,103.38,0.531274,0.017935,22.23,124.62,0.43752,0.017933,22.17,96.12,0.375017
0.01409,21.73,103.56,0.796911,0.015373,22.23,131.22,0.359391,0.016652,22.13,98.33,0.65628
0.012809,21.73,100.7,0.718783,0.012811,22.23,136.6,0.406269,0.012809,22.13,100.1,0.468771
0.01409,21.73,105.73,0.734409,0.014092,22.23,140.91,0.359391,0.01409,22.13,101.64,0.5469
0.010248,21.73,103.33,0.593777,0.010249,22.23,145.75,0.421894,0.010248,22.13,103.08,0.500023
0.010248,21.69,107.54,0.703157,0.010249,22.21,149.77,0.500023,0.011528,22.15,104.46,0.531274
0.007686,21.69,105.5,0.703157,0.007687,22.21,153.29,0.406269,0.008967,22.15,105.5,0.531274
0.008967,21.69,108.93,0.625029,0.007687,22.21,156.47,0.390643,0.008967,22.15,106.47,0.5469
0.006405,21.69,107.38,0.5469,0.006406,22.21,159.31,0.453146,0.006405,22.15,107.25,0.578151
0.006405,21.67,110.18,0.625029,0.003843,22.23,162.24,0.359391,0.005124,22.15,107.94,0.562526
0.003843,21.67,108.94,0.593777,0.003843,22.23,164.83,0.32814,0.007686,22.15,108.61,0.5469
0.002562,21.67,111.32,0.625029,0.001281,22.23,167.21,0.406269,0.003843,22.15,109.11,0.515649
0.003843,21.67,110.25,0.65628,0.001281,22.23,169.0,0.406269,0.005124,22.15,109.4,0.531274
0.002562,21.65,109.29,0.671906,0.0,22.21,170.38,0.500023,0.002562,22.17,109.81,0.515649
0.003843,21.65,111.36,0.609403,0.0,22.21,171.68,0.484397,0.002562,22.17,110.14,0.5469
0.003843,21.65,110.43,0.562526,0.001281,22.21,172.87,0.562526,0.003843,22.17,110.35,0.5469
0.001281,21.65,111.79,0.593777,0.0,22.21,173.92,0.453146,0.002562,22.17,110.96,0.609403
0.001281,21.65,113.04,0.593777,0.0,22.21,174.88,0.531274,0.003843,22.15,111.52,0.625029
0.0,21.65,114.46,0.593777,0.0,22.21,175.81,0.500023,0.005124,22.15,112.0,0.578151
0.001281,21.65,116.11,0.593777,0.0,22.21,176.59,0.593777,0.001281,22.15,112.63,0.593777
0.0,21.65,115.79,0.593777,0.0,22.21,177.32,0.5469,0.002562,22.15,113.11,0.5469
0.002562,21.65,115.55,0.593777,0.0,22.23,178.03,0.531274,0.001281,22.15,113.59,0.531274
0.0,21.65,115.33,0.593777,0.0,22.23,178.7,0.484397,0.002562,22.15,114.0,0.531274
0.0,21.65,115.23,0.593777,0.0,22.23,179.32,0.421894,0.001281,22.15,114.35,0.531274
0.001281,21.65,115.78,0.593777,0.0,22.23,179.88,0.500023,0.0,22.15,114.69,0.531274
0.0,21.65,115.61,0.562526,0.0,22.21,180.39,0.515649,0.001281,22.17,114.91,0.562526
0.001281,21.65,115.53,0.578151,0.0,22.21,180.85,0.468771,0.0,22.17,115.03,0.578151
0.001281,21.65,115.23,0.5469,0.0,22.21,181.43,0.500023,0.0,22.17,115.11,0.625029
0.0,21.65,115.0,0.562526,0.0,22.21,181.94,0.500023,0.0,22.17,115.22,0.515649
0.001281,21.67,114.81,0.562526,0.0,22.23,182.46,0.531274,0.0,22.15,115.35,0.531274
0.0,21.67,114.5,0.5469,0.0,22.23,182.95,0.562526,0.0,22.15,114.74,0.515649
0.0,21.67,114.13,0.593777,0.0,22.23,183.41,0.5469,0.0,22.15,114.15,0.500023
0.0,21.67,113.8,0.562526,0.0,22.23,183.82,0.5469,0.0,22.15,113.55,0.500023
0.0,21.65,113.46,0.578151,0.0,22.23,184.27,0.562526,0.0,22.13,113.05,0.500023
0.0,21.65,113.17,0.578151,0.0,22.23,184.64,0.593777,0.0,22.13,112.38,0.531274
0.0,21.65,112.81,0.593777,0.0,22.23,185.0,0.500023,0.0,22.13,111.79,0.468771
0.0,21.65,112.5,0.609403,0.0,22.23,185.34,0.578151,0.0,22.13,111.16,0.718783
0.0,21.65,112.13,0.609403,0.0,22.21,185.56,0.43752,0.0,22.13,110.49,0.671906
0.0,21.65,111.76,0.609403,0.0,22.21,185.78,0.531274,0.0,22.13,109.76,0.593777
0.0,21.65,111.47,0.593777,0.0,22.21,186.02,0.484397,0.0,22.13,109.09,0.578151
0.0,21.65,111.17,0.593777,0.0,22.21,186.29,0.625029,0.0,22.13,108.54,0.625029
0.0,21.67,110.78,0.625029,0.0,22.21,186.71,0.562526,0.0,22.13,108.02,0.796911
0.0,21.67,110.42,0.578151,0.0,22.21,187.14,0.5469,0.0,22.13,107.58,0.76566
0.0,21.67,110.04,0.562526,0.0,22.21,187.57,0.578151,0.0,22.13,107.29,0.703157
0.0,21.67,109.62,0.593777,0.0,22.21,188.0,0.562526,0.0,22.13,107.17,0.687531
0.0,21.65,109.25,0.578151,0.0,22.21,188.38,0.562526,0.0,22.13,107.11,0.5469
0.0,21.65,108.93,0.562526,0.0,22.21,188.72,0.453146,0.0,22.13,107.06,0.578151
0.0,21.65,108.8,0.609403,0.0,22.21,189.05,0.593777,0.0,22.13,107.0,0.5469
0.0,21.65,108.66,0.484397,0.0,22.21,189.41,0.500023,0.0,22.13,106.96,0.593777
0.0,21.65,108.46,0.578151,0.0,22.19,189.7,0.578151,0.0,22.13,106.98,0.625029
0.0,21.65,108.21,0.562526,0.0,22.19,189.95,0.500023,0.0,22.13,106.97,0.578151
0.0,21.65,107.97,0.65628,0.0,22.19,190.19,0.609403,0.0,22.13,106.93,0.640654
0.0,21.65,107.73,0.593777,0.0,22.19,190.42,0.562526,0.0,22.13,106.87,0.578151
0.0,21.67,107.33,0.593777,0.0,22.21,192.98,0.578151,0.0,22.17,107.22,0.593777
0.0,21.67,108.05,0.562526,0.0,22.21,195.43,0.562526,0.0,22.17,107.45,0.578151
0.0,21.67,107.53,0.640654,0.0,22.21,197.6,0.562526,0.0,22.17,107.65,0.578151
0.0,21.67,108.2,0.5469,0.0,22.21,198.07,0.578151,0.0,22.17,107.98,0.562526
0.0,21.63,107.23,0.5469,0.0,22.21,200.18,0.453146,0.0,22.21,107.82,0.578151
0.0,21.63,107.37,0.531274,0.0,22.21,200.62,0.562526,0.0,22.21,108.15,0.562526
0.0,21.63,106.2,0.562526,0.0,22.21,201.05,0.453146,0.0,22.21,108.03,0.5469
0.0,21.63,106.18,0.5469,0.0,22.21,201.48,0.578151,0.0,22.21,107.8,0.531274
0.0,21.67,106.05,0.562526,0.0,22.19,201.92,0.500023,0.0,22.21,107.58,0.562526
0.0,21.67,106.62,0.578151,0.0,22.19,202.37,0.5469,0.0,22.21,107.15,0.609403
0.0,21.67,105.88,0.640654,0.0,22.19,202.88,0.5469,0.0,22.21,106.68,0.593777
0.0,21.67,106.47,0.609403,0.0,22.19,203.15,0.43752,0.0,22.21,106.22,0.625029
0.0,21.65,105.75,0.65628,0.0,22.17,203.35,0.484397,0.0,22.23,105.73,0.625029
0.0,21.65,106.37,0.500023,0.0,22.17,203.53,0.593777,0.0,22.23,105.27,0.65628
0.0,21.65,105.73,0.734409,0.0,22.17,203.68,0.562526,0.0,22.23,104.77,0.687531
0.0,21.65,106.33,0.562526,0.0,22.17,203.77,0.453146,0.0,22.23,104.23,0.671906
0.0,21.73,105.68,0.578151,0.0,22.21,203.78,0.5469,0.0,22.23,103.7,0.593777
0.0,21.73,106.15,0.5469,0.0,22.21,203.8,0.43752,0.0,22.23,103.1,0.593777
0.0,21.73,105.37,0.531274,0.0,22.21,203.78,0.500023,0.0,22.23,102.55,0.593777
0.0,21.73,105.62,0.562526,0.0,22.21,203.9,0.578151,0.0,22.23,102.62,0.578151
0.0,21.75,105.82,0.578151,0.0,22.19,204.07,0.593777,0.0,22.23,102.15,0.609403
0.0,21.75,104.93,0.609403,0.0,22.19,204.23,0.43752,0.0,22.23,101.73,0.609403
0.0,21.75,105.13,0.562526,0.0,22.19,204.38,0.640654,0.0,22.23,101.38,0.625029
0.0,21.75,104.45,0.515649,0.0,22.19,204.57,0.500023,0.0,22.23,101.8,0.625029
0.0,21.77,103.77,0.5469,0.0,22.21,204.73,0.453146,0.0,22.17,102.25,0.609403
0.0,21.77,102.98,0.562526,0.0,22.21,204.85,0.625029,0.0,22.17,102.72,0.593777
0.0,21.77,101.85,0.531274,0.0,22.21,205.02,0.484397,0.0,22.17,103.1,0.578151
0.0,21.77,101.63,0.5469,0.0,22.21,204.98,0.593777,0.0,22.17,103.53,0.593777
0.0,21.71,101.35,0.562526,0.0,22.19,204.5,0.453146,0.0,22.21,103.93,0.593777
0.0,21.71,100.95,0.515649,0.0,22.19,203.95,0.625029,0.0,22.21,104.82,0.578151
0.0,21.71,100.53,0.578151,0.0,22.19,203.43,0.484397,0.0,22.21,105.73,0.578151
0.0,21.71,99.73,0.531274,0.0,22.19,202.95,0.562526,0.0,22.21,106.65,0.593777
0.0,21.73,99.27,0.531274,0.0,22.21,202.42,0.5469,0.0,22.25,107.62,0.609403
0.0,21.73,98.75,0.515649,0.0,22.21,201.9,0.625029,0.0,22.25,108.63,0.65628
0.0,21.73,98.38,0.578151,0.0,22.21,201.3,0.515649,0.0,22.25,107.93,0.609403
0.0,21.73,97.95,0.531274,0.0,22.21,200.58,0.562526,0.0,22.25,107.23,0.578151
0.0,21.73,97.47,0.609403,0.0,22.23,199.88,0.468771,0.0,22.93,106.38,0.593777
0.0,21.73,97.07,0.468771,0.0,22.23,199.23,0.640654,0.0,22.93,106.02,0.609403
0.0,21.73,96.72,0.593777,0.0,22.23,198.57,0.484397,0.0,22.93,105.62,0.609403
0.0,21.73,96.35,0.593777,0.0,22.23,197.88,0.625029,0.0,22.93,105.3,0.625029
0.0,21.71,95.97,0.578151,0.0,22.19,197.2,0.484397,0.0,22.97,104.95,0.562526
0.0,21.71,95.53,0.562526,0.0,22.19,196.53,0.500023,0.0,22.97,104.75,0.578151
0.0,21.71,95.13,0.593777,0.0,22.19,195.85,0.578151,0.0,22.97,105.0,0.593777
0.0,21.71,94.7,0.593777,0.0,22.19,195.15,0.468771,0.0,22.97,105.15,0.625029
0.0,21.73,94.5,0.65628,0.0,22.19,194.57,0.640654,0.0,22.93,105.37,0.609403
