EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.003844,22.21,89.0,0.390643,0.003845,22.61,56.0,0.65628,0.003844,22.05,87.0,0.468771
0.019222,22.21,97.67,0.343766,0.01666,22.61,58.67,0.32814,0.016659,22.05,94.33,0.468771
0.017941,22.21,116.75,0.453146,0.017942,22.61,60.0,0.375017,0.016659,22.05,88.25,0.406269
0.015378,22.21,106.2,0.453146,0.015379,22.61,69.8,0.406269,0.015378,22.05,95.2,0.468771
0.016659,22.21,109.5,0.500023,0.015379,22.61,76.33,0.390643,0.015378,22.05,114.67,0.32814
0.016659,22.21,112.43,0.375017,0.017942,22.61,80.86,0.406269,0.017941,22.05,124.29,0.453146
0.016659,22.21,115.62,0.453146,0.017942,22.61,84.12,0.500023,0.017941,22.05,131.38,0.406269
0.017941,22.21,118.11,0.609403,0.01666,22.61,86.78,0.32814,0.016659,22.05,136.89,0.421894
0.017941,22.21,120.2,0.921917,0.01666,22.61,89.0,0.343766,0.016659,22.05,141.5,0.531274
0.017941,22.21,121.82,0.87504,0.015379,22.61,90.73,0.562526,0.015378,22.05,145.18,0.687531
0.017941,22.21,123.17,0.453146,0.015379,22.61,92.0,0.484397,0.014096,22.05,148.17,0.703157
0.016659,22.21,124.15,0.43752,0.01666,22.63,93.0,0.375017,0.015378,22.07,150.92,0.718783
0.015378,22.21,124.93,0.5469,0.01666,22.63,93.57,0.468771,0.016659,22.07,153.29,0.640654
0.016659,22.21,125.27,0.453146,0.01666,22.63,94.33,0.484397,0.016659,22.07,154.8,0.593777
0.016659,22.21,125.62,0.406269,0.015379,22.63,95.12,0.406269,0.015378,22.07,155.94,0.609403
0.016659,22.19,125.94,0.421894,0.014097,22.61,95.82,0.390643,0.014096,22.09,156.47,0.671906
0.016659,22.19,126.22,0.578151,0.014097,22.61,96.33,0.359391,0.014096,22.09,156.94,0.671906
0.016659,22.19,126.37,0.468771,0.014097,22.61,96.16,0.359391,0.012815,22.09,157.37,0.687531
0.015378,22.19,126.35,0.468771,0.014097,22.61,96.0,0.421894,0.012815,22.09,157.8,0.562526
0.014096,22.21,126.33,0.468771,0.014097,22.61,95.71,0.359391,0.012815,22.05,158.14,0.593777
0.014096,22.21,125.86,0.515649,0.014097,22.61,95.59,0.32814,0.012815,22.05,158.5,0.593777
