EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.003844,21.75,97.5,0.43752,0.002563,21.81,82.5,0.32814,0.002562,21.29,77.5,0.375017
0.016655,21.75,100.0,0.468771,0.016656,21.81,75.0,0.343766,0.015374,21.29,80.67,0.484397
0.016655,21.75,94.75,0.453146,0.016656,21.81,75.25,0.390643,0.016655,21.29,82.0,0.359391
0.017936,21.75,100.4,0.421894,0.017938,21.81,71.2,0.43752,0.017936,21.29,83.8,0.359391
0.016655,21.75,96.33,0.406269,0.016656,21.81,88.33,0.406269,0.016655,21.29,83.67,0.390643
0.017936,21.75,101.14,0.406269,0.019219,21.81,100.43,0.312514,0.017936,21.29,84.57,0.359391
0.017936,21.75,102.62,0.500023,0.017938,21.81,108.75,0.500023,0.016655,21.29,85.5,0.484397
0.015374,21.81,100.78,0.421894,0.015375,21.79,115.56,0.500023,0.015374,21.41,85.67,0.32814
0.016655,21.81,104.2,0.484397,0.015375,21.79,121.0,0.515649,0.015374,21.41,85.7,0.359391
0.015374,21.81,101.36,0.500023,0.015375,21.79,125.55,0.359391,0.015374,21.41,86.0,0.468771
0.014093,21.81,104.58,0.421894,0.012813,21.79,129.5,0.312514,0.011531,21.41,86.42,0.359391
0.014093,21.83,102.0,0.484397,0.014094,21.77,132.54,0.312514,0.011531,21.33,86.23,0.359391
0.011531,21.83,104.93,0.390643,0.011531,21.77,135.0,0.406269,0.010249,21.33,87.14,0.32814
0.012812,21.83,109.2,0.468771,0.011531,21.77,137.13,0.453146,0.011531,21.33,87.93,0.468771
0.010249,21.83,112.94,0.515649,0.01025,21.77,139.0,0.406269,0.010249,21.33,88.75,0.500023
0.010249,21.83,116.18,0.43752,0.008969,21.79,140.53,0.359391,0.008968,21.23,89.59,0.515649
0.010249,21.83,119.0,0.531274,0.008969,21.79,141.89,0.468771,0.008968,21.23,90.11,0.43752
0.007687,21.83,121.47,0.531274,0.007688,21.79,143.11,0.359391,0.006406,21.23,90.63,0.5469
0.008968,21.83,118.9,0.43752,0.006406,21.79,144.3,0.390643,0.006406,21.23,91.15,0.421894
0.006406,21.85,116.14,0.562526,0.006406,21.79,145.29,0.43752,0.006406,21.25,91.48,0.578151
0.007687,21.85,113.5,0.5469,0.003844,21.79,146.18,0.562526,0.003844,21.25,91.91,0.421894
0.006406,21.85,111.17,0.390643,0.005125,21.79,147.0,0.593777,0.005125,21.25,92.43,0.5469
0.005125,21.85,109.08,0.578151,0.005125,21.79,147.71,0.500023,0.002562,21.25,93.04,0.43752
0.005125,21.93,107.2,0.87504,0.003844,21.79,148.32,0.375017,0.003844,21.25,93.64,0.5469
0.003844,21.93,105.69,0.65628,0.003844,21.79,148.85,0.484397,0.003844,21.25,94.12,0.43752
0.005125,21.93,104.3,0.734409,0.001281,21.79,149.3,0.359391,0.0,21.25,94.59,0.500023
0.003844,21.93,103.0,0.843789,0.002563,21.79,149.68,0.468771,0.002562,21.25,95.07,0.453146
0.002562,22.01,101.76,0.703157,0.001281,21.77,150.1,0.453146,0.001281,21.23,95.52,0.531274
0.003844,22.01,100.6,0.718783,0.001281,21.77,150.53,0.32814,0.001281,21.23,95.93,0.453146
0.002562,22.01,99.81,0.781286,0.003844,21.77,151.0,0.453146,0.002562,21.23,96.39,0.5469
0.002562,22.01,99.06,0.750034,0.001281,21.77,151.41,0.375017,0.0,21.23,96.78,0.421894
0.002562,22.03,98.33,0.781286,0.0,21.77,151.76,0.468771,0.001281,21.23,97.36,0.5469
0.001281,22.03,97.68,0.703157,0.001281,21.77,152.09,0.500023,0.0,21.23,97.91,0.43752
0.002562,22.03,97.06,0.750034,0.0,21.77,152.37,0.484397,0.001281,21.23,98.37,0.484397
0.001281,22.03,96.5,0.703157,0.0,21.77,152.61,0.406269,0.001281,21.23,98.81,0.5469
0.002562,22.03,96.0,0.703157,0.001281,21.79,152.84,0.531274,0.0,21.23,99.19,0.468771
0.002562,22.03,95.53,0.703157,0.0,21.79,153.05,0.343766,0.0,21.23,99.26,0.500023
0.0,22.03,95.1,0.687531,0.0,21.79,153.26,0.515649,0.0,21.23,99.31,0.515649
0.001281,22.03,94.78,0.671906,0.0,21.79,153.45,0.515649,0.001281,21.23,99.2,0.453146
0.0,22.05,94.56,0.687531,0.0,21.77,153.61,0.484397,0.0,21.23,99.02,0.515649
0.001281,22.05,94.33,0.734409,0.0,21.77,153.74,0.562526,0.0,21.23,98.9,0.484397
0.0,22.05,94.16,0.703157,0.0,21.77,153.84,0.453146,0.0,21.23,98.79,0.484397
0.0,22.05,93.75,0.703157,0.0,21.77,153.91,0.343766,0.0,21.23,98.64,0.500023
0.001281,22.07,93.33,0.781286,0.0,21.79,153.96,0.531274,0.0,21.23,98.6,0.562526
0.0,22.07,92.89,0.890666,0.0,21.79,154.02,0.453146,0.0,21.23,98.93,0.562526
0.001281,22.07,92.51,0.687531,0.0,21.79,154.15,0.375017,0.0,21.23,99.28,0.500023
0.001281,22.07,92.1,0.703157,0.0,21.79,154.27,0.421894,0.001281,21.23,99.52,0.500023
0.0,22.17,91.73,0.687531,0.0,21.77,154.39,0.453146,0.0,21.23,99.67,0.453146
0.0,22.17,91.4,0.687531,0.0,21.77,154.52,0.343766,0.0,21.23,99.84,0.500023
0.0,22.17,91.16,0.687531,0.0,21.77,154.65,0.484397,0.0,21.23,99.98,0.500023
0.0,22.17,90.94,0.718783,0.0,21.77,154.75,0.515649,0.0,21.23,100.08,0.500023
0.0,21.95,90.79,0.718783,0.0,21.79,154.83,0.343766,0.0,21.27,100.17,0.484397
0.0,21.95,90.57,0.76566,0.0,21.79,154.85,0.531274,0.0,21.27,100.24,0.515649
0.0,21.95,90.36,0.718783,0.0,21.79,154.84,0.484397,0.0,21.27,101.04,0.453146
0.0,21.95,90.14,0.687531,0.0,21.79,154.86,0.515649,0.0,21.27,101.8,0.515649
0.0,21.77,89.84,0.796911,0.0,21.81,154.89,0.578151,0.0,21.27,102.86,0.5469
0.0,21.77,89.53,0.703157,0.0,21.81,154.95,0.32814,0.0,21.27,104.53,0.421894
0.0,21.77,89.24,0.718783,0.0,21.81,155.0,0.484397,0.0,21.27,106.25,0.484397
0.0,21.77,88.93,0.796911,0.0,21.81,155.07,0.468771,0.0,21.27,107.88,0.531274
0.0,21.67,88.37,0.687531,0.0,21.77,156.0,0.421894,0.0,21.29,110.07,0.453146
0.0,21.67,88.12,0.578151,0.0,21.77,157.65,0.578151,0.0,21.29,112.08,0.515649
0.0,21.67,87.6,0.828163,0.0,21.77,159.35,0.43752,0.0,21.29,114.05,0.43752
0.0,21.67,87.58,0.781286,0.0,21.77,160.83,0.609403,0.0,21.29,116.03,0.515649
0.0,21.67,86.85,0.671906,0.0,21.77,162.67,0.593777,0.0,21.29,117.88,0.468771
0.0,21.67,86.9,0.734409,0.0,21.77,162.52,0.968794,0.0,21.29,119.83,0.500023
0.0,21.67,86.03,0.578151,0.0,21.77,162.35,0.593777,0.0,21.29,121.73,0.484397
0.0,21.67,85.5,0.781286,0.0,21.77,162.28,0.421894,0.0,21.29,123.57,0.468771
0.0,21.67,85.43,0.87504,0.0,21.79,162.15,1.015671,0.0,21.29,125.52,0.484397
0.0,21.67,84.55,0.671906,0.0,21.79,162.03,1.046923,0.0,21.29,127.5,0.484397
0.0,21.67,84.72,0.671906,0.0,21.79,161.93,0.500023,0.0,21.29,129.58,0.484397
0.0,21.67,83.68,0.750034,0.0,21.79,161.73,0.515649,0.0,21.29,131.18,0.453146
0.0,21.69,83.8,0.703157,0.0,21.77,161.6,0.5469,0.0,21.29,132.88,0.500023
0.0,21.69,82.73,0.781286,0.0,21.77,161.52,0.312514,0.0,21.29,134.35,0.453146
0.0,21.69,81.23,0.703157,0.0,21.77,161.45,0.515649,0.0,21.29,135.8,0.515649
0.0,21.69,79.73,0.76566,0.0,21.77,161.37,0.625029,0.0,21.29,137.22,0.421894
0.0,21.67,78.23,0.687531,0.0,21.79,161.3,0.593777,0.0,21.29,139.0,0.531274
0.0,21.67,76.68,0.828163,0.0,21.79,161.25,0.593777,0.0,21.29,140.82,0.43752
0.0,21.67,75.17,0.812537,0.0,21.79,161.25,0.359391,0.0,21.29,142.6,0.500023
0.0,21.67,75.22,0.703157,0.0,21.79,161.22,0.484397,0.0,21.29,144.37,0.43752
0.0,21.67,75.48,0.76566,0.0,21.77,161.2,0.468771,0.0,21.31,145.23,0.500023
0.0,21.67,75.75,0.687531,0.0,21.77,161.18,0.453146,0.0,21.31,146.03,0.453146
0.0,21.67,75.97,0.65628,0.0,21.77,161.18,0.453146,0.0,21.31,146.78,0.515649
0.0,21.67,76.17,0.703157,0.0,21.77,161.2,0.406269,0.0,21.31,147.48,0.421894
0.0,21.71,76.33,0.734409,0.0,21.77,161.23,0.421894,0.0,21.27,148.13,0.484397
0.0,21.71,76.42,0.593777,0.0,21.77,161.28,0.468771,0.0,21.27,148.8,0.453146
0.0,21.71,76.55,0.859414,0.0,21.77,161.37,0.500023,0.0,21.27,149.43,0.484397
0.0,21.71,76.7,0.671906,0.0,21.77,161.5,0.406269,0.0,21.27,149.8,0.453146
0.0,21.81,76.85,0.734409,0.0,21.77,161.57,0.421894,0.0,21.29,150.2,0.515649
0.0,21.81,76.98,0.609403,0.0,21.77,161.73,0.484397,0.0,21.29,150.6,0.468771
0.0,21.81,76.93,0.76566,0.0,21.77,161.93,0.562526,0.0,21.29,150.97,0.500023
0.0,21.81,77.03,0.718783,0.0,21.77,162.13,0.515649,0.0,21.29,151.68,0.453146
