EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.001281,21.77,70.5,0.421894,0.001281,22.23,75.5,0.32814,0.002563,21.99,81.5,0.375017
0.014095,21.77,82.33,0.421894,0.014096,22.23,82.33,0.421894,0.015375,21.99,91.0,0.453146
0.016657,21.77,76.25,0.468771,0.015377,22.23,80.75,0.375017,0.017938,21.99,85.0,0.43752
0.017939,21.77,86.4,0.43752,0.016658,22.23,74.4,0.468771,0.019219,21.99,94.8,0.500023
0.015376,21.77,92.67,0.5469,0.016658,22.23,82.0,0.421894,0.017938,21.99,94.0,0.375017
0.017939,21.77,96.86,0.562526,0.01794,22.23,86.86,0.312514,0.019219,21.99,93.43,0.421894
0.016657,21.77,100.0,0.421894,0.016658,22.23,90.75,0.390643,0.017938,21.99,93.0,0.578151
0.017939,21.77,102.22,0.468771,0.016658,22.21,93.33,0.500023,0.019219,21.97,92.89,0.531274
0.015376,21.77,104.0,0.359391,0.016658,22.21,95.2,0.390643,0.017938,21.97,92.5,0.609403
0.017939,21.77,102.82,0.453146,0.016658,22.21,98.09,0.484397,0.019219,21.97,97.82,0.593777
0.016657,21.77,102.67,0.43752,0.01794,22.21,100.33,0.406269,0.017938,21.97,97.25,0.609403
0.017939,21.85,102.31,0.484397,0.01794,22.21,102.46,0.468771,0.0205,21.99,96.85,0.609403
0.017939,21.85,101.93,0.375017,0.016658,22.21,104.14,0.421894,0.017938,21.99,96.57,0.609403
0.016657,21.85,101.53,0.484397,0.01794,22.21,105.67,0.312514,0.0205,21.99,96.4,0.640654
0.017939,21.85,101.31,0.390643,0.01794,22.21,107.12,0.312514,0.017938,21.99,93.56,0.625029
0.016657,21.87,101.12,0.500023,0.016658,22.17,108.41,0.531274,0.019219,21.97,95.35,0.593777
0.017939,21.87,100.94,0.375017,0.016658,22.17,109.56,0.343766,0.0205,21.97,97.28,0.468771
0.016657,21.87,100.74,0.468771,0.01794,22.17,110.79,0.343766,0.017938,21.97,99.26,0.750034
0.017939,21.87,100.55,0.421894,0.01794,22.17,112.3,0.375017,0.019219,21.97,100.95,0.531274
0.016657,21.95,100.29,0.468771,0.015377,22.19,113.67,0.484397,0.019219,21.95,102.71,0.65628
0.017939,21.95,100.23,0.406269,0.016658,22.19,114.86,0.562526,0.019219,21.95,104.23,0.609403
0.016657,21.95,100.09,0.453146,0.016658,22.19,115.87,0.671906,0.019219,21.95,105.52,0.578151
0.01922,21.95,100.0,0.453146,0.016658,22.19,116.75,0.531274,0.019219,21.95,106.83,0.578151
0.016657,22.01,99.88,0.515649,0.016658,22.21,118.12,0.500023,0.017938,21.95,108.08,0.609403
0.017939,22.01,99.88,0.359391,0.01794,22.21,119.35,0.531274,0.0205,21.95,108.31,0.609403
0.016657,22.01,99.78,0.453146,0.015377,22.21,120.48,0.531274,0.017938,21.95,108.56,0.65628
0.017939,22.01,99.75,0.43752,0.01794,22.21,121.54,0.562526,0.019219,21.95,108.79,0.609403
0.01922,22.05,100.07,0.500023,0.016658,22.19,122.52,0.468771,0.019219,21.93,109.0,0.578151
0.017939,22.05,100.33,0.500023,0.01794,22.19,123.47,0.43752,0.019219,21.93,109.3,0.65628
0.017939,22.05,100.52,0.43752,0.016658,22.19,124.35,0.484397,0.019219,21.93,109.61,0.625029
0.016657,22.05,100.69,0.406269,0.01794,22.19,125.19,0.484397,0.0205,21.93,109.94,0.625029
0.017939,22.07,100.91,0.578151,0.016658,22.21,125.94,0.515649,0.017938,21.95,110.24,0.578151
0.016657,22.07,101.0,0.515649,0.01794,22.21,126.65,0.453146,0.019219,21.95,110.85,0.609403
0.017939,22.07,101.17,0.531274,0.016658,22.21,127.29,0.468771,0.019219,21.95,111.46,0.578151
0.016657,22.07,101.28,0.484397,0.01794,22.21,127.92,0.562526,0.0205,21.95,110.47,0.531274
0.01922,22.17,101.35,0.515649,0.016658,22.19,128.49,0.515649,0.019219,22.01,110.54,0.687531
0.016657,22.17,101.45,0.578151,0.01794,22.19,129.0,0.531274,0.0205,22.01,111.26,0.593777
0.017939,22.17,101.54,0.500023,0.015377,22.19,129.49,0.562526,0.017938,22.01,111.9,0.671906
0.016657,22.17,101.7,0.468771,0.01794,22.19,129.95,0.531274,0.0205,22.01,112.53,0.703157
0.017939,22.09,101.88,0.453146,0.01794,22.21,130.44,0.515649,0.019219,22.03,113.17,0.609403
0.016657,22.09,101.98,0.468771,0.01794,22.21,130.88,0.500023,0.0205,22.03,113.76,0.531274
0.017939,22.09,102.09,0.500023,0.01794,22.21,131.33,0.531274,0.017938,22.03,114.35,0.625029
0.017939,22.09,102.18,0.43752,0.016658,22.21,131.73,0.312514,0.019219,22.03,114.93,0.65628
0.017939,21.87,102.27,0.421894,0.01794,22.21,132.11,0.359391,0.019219,22.03,114.93,0.593777
0.016657,21.87,102.33,0.562526,0.015377,22.21,132.48,0.500023,0.019219,22.03,114.46,0.65628
0.016657,21.87,102.36,0.578151,0.01794,22.21,132.74,0.5469,0.019219,22.03,114.06,0.609403
0.016657,21.87,102.42,0.43752,0.016658,22.21,132.88,0.515649,0.017938,22.03,113.67,0.640654
0.017939,21.85,102.45,0.390643,0.01794,22.19,133.0,0.578151,0.019219,21.99,112.51,0.5469
0.017939,21.85,102.5,0.32814,0.016658,22.19,133.16,0.562526,0.017938,21.99,112.54,0.609403
0.016657,21.85,102.57,0.421894,0.01794,22.19,133.22,0.671906,0.0205,21.99,112.27,0.5469
0.017939,21.85,102.54,0.390643,0.016658,22.19,133.29,0.640654,0.017938,21.99,112.06,0.687531
0.017939,21.83,102.47,0.421894,0.016658,22.21,133.32,0.5469,0.019219,21.97,111.87,0.734409
0.017939,21.83,102.43,0.468771,0.016658,22.21,133.35,0.500023,0.017938,21.97,111.7,0.718783
0.016657,21.83,102.42,0.406269,0.01794,22.21,133.38,0.531274,0.019219,21.97,110.73,0.671906
0.017939,21.83,102.16,0.500023,0.016658,22.21,133.41,0.515649,0.019219,21.97,111.05,0.515649
0.016657,21.83,101.93,0.375017,0.01794,22.19,133.47,0.531274,0.019219,21.99,110.96,0.640654
0.017939,21.83,101.78,0.468771,0.015377,22.19,133.53,0.484397,0.017938,21.99,110.86,0.5469
0.016657,21.83,101.59,0.468771,0.01794,22.19,133.59,0.562526,0.0205,21.99,110.78,0.531274
